Staff Software Engineer - Algorithmic Pricing,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131687
Sr Software Engineer,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130454
Senior Video Editing Software Engineer Google Photos,Google,placeLos Angeles CA USA Mountain View CA USA; +2 more; +1 more,Not Disclosed,"Minimum qualificationsBachelors degree or equivalent practical experience.5 years of experience with software development in one or more programming languages and with data structures/algorithms.3 years of experience with Android application development.3 years of experience testing maintaining or launching software products and 1 year of experience with application design and architecture.Experience in developing video editing or video processing tools,https://www.google.com/about/careers/applications/jobs/results/72217790685029062-senior-video-editing-software-engineer-google-photos?q=%20software%20engineer%20
Software Engineer - Delivery Matching,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131566
Staff Software Engineer - Shared Rides,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131452
Staff Software Engineer - Algorithmic Pricing,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131687
Sr Software Engineer - Stateful Platform,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130387
Software Engineer - Delivery Matching,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131566
Senior Staff Software Engineer - Bets,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131286
Capgemini Invent: Intern (m/w/d) in der Strategie- und Managementberatung (6 Monate in Vollzeit),Capgemini,Austria,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Software Engineer II - GenAI,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128266
Senior Software Engineer,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130081
Software Engineer II - iOS,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131212
Sr Software Engineer - Front end,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/127249
Senior Software Engineer - Web,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129773
Software Engineer II (Frontend),Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131187
Senior Software Engineer,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132326
Sr Software Engineer - Fullstack,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131208
Senior Fullstack Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132129
TPU Simulator Software Engineer Silicon,Google,placeSeoul South Korea,Not Disclosed,"Minimum qualificationsBachelors degree or equivalent practical experience.5 years of experience with software development in C++ and with data structures/algorithms.3 years of experience testing maintaining or launching software products and 1 year of experience with software design and architecture,https://www.google.com/about/careers/applications/jobs/results/80209924348355270-tpu-simulator-software-engineer-silicon?q=%20software%20engineer%20
Partner Engineer YouTube Music Labels,Google,placeSan Bruno CA USA; New York NY USA,Not Disclosed,"Minimum qualificationsBachelors degree in Engineering Computer Science a related field or equivalent practical experience. Experience working with client-side web technologies (e.g. HTML CSS JavaScript or HTTP).Experience coding with one or more programming languages (e.g.Java C/C++ Python).Experience in technical troubleshooting and managing internal/external partners or customers,https://www.google.com/about/careers/applications/jobs/results/128596382599520966-partner-engineer-youtube-music-labels?q=%20software%20engineer%20
Sr Software Engineer,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130454
Sr Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131507
Software Engineer III Machine Learning (Recommendations Rankings and Predictions) YouTube,Google,placeMountain View CA USA; San Bruno CA USA,Not Disclosed,"Minimum qualificationsBachelors degree or equivalent practical experience.2 years of experience with software development in one or more programming languages or 1 year of experience with an advanced degree in an industry setting.2 years of experience with data structures or algorithms in either an academic or industry setting. 2 years of experience with machine learning algorithms and tools (e.g.TensorFlow) artificial intelligence.Experience developing algorithms (ranking recommendations prediction search quality personalization) and software that generates suggestions basedon various input and output targets.Programming experience in Python. ,https://www.google.com/about/careers/applications/jobs/results/120648909214098118-software-engineer-iii-machinelearning-recommendations-rankings-and-predictions-youtube?q=%20software%20engineer%20
Staff Backend Software Engineer,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129213
Software Engineering Manager Mobile Client YouTube Create,Google,placeBengaluru Karnataka India,Not Disclosed,"Minimum qualificationsBachelor's degree or equivalent practical experience.8 years of experience with software development in one or more programming languages (e.g. Python C C++ Java JavaScript).5 years of experience in mobile client side development (e.g. Androidor iOS).3 years of experience in a technical leadership role overseeing projects with 2 years of experience in a people management supervision/team leadership role,https://www.google.com/about/careers/applications/jobs/results/74423194651370182-software-engineering-manager-mobile-client-youtube-create?q=%20software%20engineer%20
Senior Fullstack Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132129
Software Engineer II - Backend - Grocery,Uber,Santiago - Chile,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128778
Staff Software Engineer - Catalog Platform,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/126913
Staff Software Engineer - Backend,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128297
Software Engineer II - Driver Pricing,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131689
Software Engineer II - Driver Pricing,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131689
Software Engineer II - iOS - Ads,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131863
Senior Software Engineer - Frontend,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129547
Sr Software Engineer - Machine Learning,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131054
2024 Software Engineering Internship - Amsterdam,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/125074
Intern (Programming Profile),Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Staff Software Engineer,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130157
Senior Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128421
Software Engineer II - Backend - Mobility,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128729
Software Engineer II - iOS,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131789 
Generative AI Manager Platforms and Ecosystems Engineering Productivity,Google,placeNew York NY USA,Not Disclosed,"Minimum qualifications Bachelor's degree or equivalent practical experience.8 years of experience with software development in one or more programming languages (e.g. Python Java Typescript Go).3 years of experience in a technical leadership role; overseeing projects with 2 years of experience in a people management supervision/team leadership role,https://www.google.com/about/careers/applications/jobs/results/82930214228632262-generative-ai-manager-platforms-and-ecosystems-engineering-productivity?q=%20software%20engineer%20
Software Engineer II - Backend - Mobility,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128729
2024 Graduate Software Engineer - Amsterdam,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129116
Machine Learning Software Engineer Search,Google,placeMountain View CA USA,Not Disclosed,"Minimum qualificationsBachelor's degree or equivalent practical experience.8 years of experience in software development and with data structures/algorithms.5 years of experience testing and launching software products and 3 years of experience with software design and architecture.5 years of experience with machine learning algorithms and tools (e.g. TensorFlow) artificial intelligence deep learning or natural language processing,https://www.google.com/about/careers/applications/jobs/results/107327195730322118-machine-learning-software-engineer-search?q=%20software%20engineer%20
Software Engineer II (Data Engineering),Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132073
Staff Software Engineer - ML Engineering,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132398
Senior Software Engineer - Frontend,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129547
Senior Software Engineer,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132326
Senior Software Engineer,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131865
Senior Staff Software Engineer - Maps,Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132277
Software Engineer II - Android,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131375
Sr. Software Engineer - Android - Maps,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132342
Software Engineer III Core Machine Learning Google Cloud,Google,placeSunnyvale CA USA; Seattle WA USA; +3 more; +2 more,Not Disclosed,"Minimum qualificationsBachelors degree or equivalent practical experience.2 years of experience with software development in one or more programming languages or 1 year of experience with an advanced degree in an industry setting. 2 years of experience with data structures or algorithms in either an academic or industry setting.2 years of experience with machine learning algorithms and tools (e.g. TensorFlow) artificial intelligence deep learning and/or natural language processing,https://www.google.com/about/careers/applications/jobs/results/120493227649180358-software-engineer-iii-core-machine-learning-google-cloud?q=%20software%20engineer%20
Data Engineer Intern,Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Software Engineer II - iOS,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130706
Software Engineer II - Backend - Risk,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129071
Staff Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131221
Senior Staff Software Engineer - Bets,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131286
Sr Software Engineer - Front end,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/127249
Summer Intern - Visual Communication Intern,Capgemini,Portugal,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Software Engineer - Delivery Matching,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131563
Senior Software Engineer,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130081
Senior Software Engineer - Mobile Security,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/127397
Sr Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131507
Staff Software Engineer - Fullstack,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132408
Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128839
Staff Software Engineer - Delivery Matching,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131565
2024 Software Engineering Internship - Amsterdam,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/125074
Lead Engineer Audio Machine Learning,Google,placeHyderabad Telangana India,Not Disclosed,"Minimum qualifications Bachelors degree in Computer Science Engineering Computer Information Systems Mathematics Physics related field or equivalent practical experience. 5 years of experience in the following: C C++ C# Java JavaScript Objective-C Python HTML CSS Object oriented analysis and design advanced algorithms multi-threading machine learning artificial intelligence data mining APIs natural language processing MapReduce or any other programming languages,https://www.google.com/about/careers/applications/jobs/results/100278653228589766-lead-engineer-audio-machine-learning?q=%20software%20engineer%20
Sr Software Engineer - Stateful Platform,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130387
Sr Software Engineer - Fullstack,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131208
Staff Software Engineer - Fullstack,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132408
Test Engineer YouTube,Google,placeBengaluru Karnataka India,Not Disclosed,"Minimum qualifications Bachelor's degree or equivalent practical experience.3 years of experience in coding developing test methodologies writing test plans creating test cases and debugging,https://www.google.com/about/careers/applications/jobs/results/98085246179648198-test-engineer-youtube?q=%20software%20engineer%20
Software Engineer II - Backend - Grocery,Uber,Santiago - Chile,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128778
Senior Staff Software Engineer - Marketplace,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131468
Staff Software Engineer - Backend,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128297
Staff Backend Software Engineer,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129213
Program Manager II Software Development Google Photos,Google,placeMountain View CA USA; San Francisco CA USA,Not Disclosed,"Minimum qualificationsBachelor's degree or equivalent practical experience.2 years of experience in program or project management.Experience working on software development projects.,https://www.google.com/about/careers/applications/jobs/results/100144080897352390-program-manager-ii-software-development-google-photos?q=%20software%20engineer%20
Senior Staff Software Engineer - Maps,Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132277
Software Engineer II - Android - Ads,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131788
Customer Engineer Infrastructure Modernization Google Cloud,Google,placeTel Aviv Israel,Not Disclosed,"Minimum qualifications Bachelor's degree in Computer Science related Software Engineering field or equivalent practical experience.Experience in cloud computing (e.g. infrastructure storage platforms data) cloud market dynamics and customer buying behavior.,https://www.google.com/about/careers/applications/jobs/results/102237880675377862-customer-engineer-infrastructure-modernization-google-cloud?q=%20software%20engineer%20
Senior Software Engineer - Web,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129773
Sr Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129330
Staff Software Engineer - Marketplace Logistics,Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131430
Senior Software Engineer - Privacy Engineering,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130466
Senior Software Engineer - Mobile Security,Uber,Not Mentioned,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129705
Sr. Software Engineer - Android - Maps,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132342
Software Engineer - Delivery Matching,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131563
Front End Engineering Manager,Google,placeHyderabad Telangana India,Not Disclosed,"Minimum qualificationsBachelor's degree in Computer Science a related technical field or equivalent practical experience.8 years of experience with software development in one or more programming languages (e.g. Python C C++ Java JavaScript).3 years of experience in a technical leadership role; overseeing projects with 2 years of experience in a people management supervision/team leadership role.Experience with front end frameworks (e.g. AngularJS ReactJS etc.),https://www.google.com/about/careers/applications/jobs/results/84117824225583814-front-end-engineering-manager?q=%20software%20engineer%20
Sr Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129330
Data Scientist Intern,Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Staff Software Engineer (iOS),Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132032
Senior Software Engineer - Mobile Security,Uber,Not Mentioned,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129705
Sr Software Engineer - Fullstack,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131298
Senior Software Engineer - Shared Rides,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131463
Senior Developer Relations Engineer,Google,placeKraków Poland,Not Disclosed,"Minimum qualificationsBachelor's degree in Computer Science a related technical field or equivalent practical experience5 years of experience in a technical role (e.g. software engineering solutions consultant etc.) or equivalent technical experience.,https://www.google.com/about/careers/applications/jobs/results/108417804964635334-senior-developer-relations-engineer?q=%20software%20engineer%20
Mechatronics Engineer Data Center Automation Services,Google,placeMoncks Corner SC USA,Not Disclosed,"Minimum qualificationsBachelor's degree or equivalent practical experience.3 years of experience designing and testing multiple subsystems and systems (e.g. software robotics algorithms electrical systems mechanical systems control systems).3 years of experience with industrial electrical control system components and system design and regional industrial and safety standards (e.g. ISO NFPA RIA ANSI ETC).,https://www.google.com/about/careers/applications/jobs/results/77885054792934086-mechatronics-engineer-data-center-automation-services?q=%20software%20engineer%20
Software Engineering Manager Server Management Google Cloud,Google,placeTaipei Taiwan,Not Disclosed,"Minimum qualificationsBachelor's degree in Computer Science or equivalent practical experience.7 years of experience in system software design and development in C/C++.5 years of experience in technical leadership and people management.Experience with software engineering practices including release management test automation and quality assurance.,https://www.google.com/about/careers/applications/jobs/results/91738408455414470-software-engineering-manager-server-management-google-cloud?q=%20software%20engineer%20
Staff Software Engineer - Shared Rides,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131452
Intern DevOps with German,Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Staff Software Engineer - Marketplace Logistics,Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131430
Staff Software Engineer - Risk,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130013
Staff Software Engineer - Delivery Matching,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131565
Software Engineer II - Android,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131375
Manager Site Reliability Engineering Google Cloud Storage,Google,placeSydney NSW Australia,Not Disclosed,"Minimum qualificationsBachelors degree in Computer Science a related field or equivalent practical experience.8 years of experience with data structures or algorithms.5 years of experience with software development in one or more programming languages.3 years of experience in people management and designing analyzing and troubleshooting distributed systems.,https://www.google.com/about/careers/applications/jobs/results/116632818842247878-manager-site-reliability-engineering-google-cloud-storage?q=%20software%20engineer%20
Software Engineer II - iOS,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131212
Senior Software Engineer - Desktop Applications,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128907
Staff Software Engineer (iOS),Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132032
Staff Software Engineer - Risk,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130013
Senior Staff Software Engineer - Marketplace,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131468
Senior Software Engineer,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131865
Senior Staff Security Researcher Device Security Tech Lead,Google,placeMountain View CA USA; Kirkland WA USA; +2 more; +1 more,Not Disclosed,"Minimum qualificationsMaster's degree in computer science engineering or equivalent practical experience.10 years of experience as a security engineer or researcher in areas like microchip security BootROM bootloaders TEE AndroidLinux kernel or wireless communications covering hardware and software.5 years of experience as a security engineer or research lead with an organizational or industry buildingimpact identifying and writing exploits for vulnerabilities in device components and hardened attack surfaces using a combination of code and binary review static and dynamic analysis.,https://www.google.com/about/careers/applications/jobs/results/111828973486252742-senior-staff-security-researcher-device-security-tech-lead?q=%20software%20engineer%20
Staff Software Engineer - iOS,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130711
Intern Manual Tester (German Speaking),Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Staff Software Engineer - Catalog Platform,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/126913
Staff Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131221
Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128839
Senior Software Engineer - Privacy Engineering,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130466
Staff Software Engineer - iOS,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130711
Software Engineer II - iOS,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130706
Software Engineer II - iOS,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131789
intern - apprentice CSS,Capgemini,France,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Senior Software Engineer - Mobile Security,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/127397
Security Engineer Enterprise AI Protection,Google,placeSeattle WA USA,Not Disclosed,"Minimum qualificationsBachelor's degree in Computer Science a related technical field or equivalent practical experience.2 years of experience in security engineering.Experience with software development in one or more programming languages (e.g. Go Python R Julia C/C++ Java SQL).,https://www.google.com/about/careers/applications/jobs/results/90925594484581062-security-engineer-enterprise-ai-protection?q=%20software%20engineer%20
Staff Software Engineer,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130157
Machine Learning GPU Performance Engineer,Google,placeLondon UK,Not Disclosed,"Minimum qualificationsBachelor's degree or equivalent practical experience.5 years of experience with software development in one or more programming languages and with data structures/algorithms.3 years of experience testing maintaining or launching software products and 1 year of experience with software design and architecture.3 years of experience with performance systems data analysis visualization tools or debugging.,https://www.google.com/about/careers/applications/jobs/results/106027235831358150-machine-learning-gpu-performance-engineer?q=%20software%20engineer%20
Software Engineer II (Frontend),Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131187
Intern SAP TM (Transportation Management),Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Intern Frontend developer (with German),Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Software Engineer II (Data Engineering),Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132073
Software Engineer II - Backend - Grocery,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130899
Software Engineer II - iOS - Ads,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131863
Senior Software Engineer Earner,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131716
Intern Application Consultant (with German),Capgemini,Poland,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Senior Software Engineer - Shared Rides,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131463
Software Engineer II - GenAI,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128266
Software Engineer II - Backend - Grocery,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130899
2024 Graduate Software Engineer - Amsterdam,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129116
Software Engineer II - Android - Ads,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131788
Senior Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128421
Staff Software Engineer - ML Engineering,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132398
Senior Software Engineer - Desktop Applications,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128907
Invent - Intern Strategy and Management Consulting (m/f/d),Capgemini,en-ch,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Staff Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131508
Staff Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131508
Sr Software Engineer - Fullstack,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131298
Software Engineer II - Backend - Risk,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129071
Senior Software Engineer Earner,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131716
Sr Software Engineer - Machine Learning,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131054